Name,Symbol,Date,High,Low,Open,Close,Volume
Ethereum,ETH,29/03/2017,53.868999,50.5485,50.569302,53.126099,144998000
Ethereum,ETH,30/03/2017,53.313999,51.866798,53.1245,52.205799,86885696
Ethereum,ETH,31/03/2017,51.768299,47.380299,51.7537,50.0373,151416000
Ethereum,ETH,01/04/2017,51.928299,48.875301,50.033699,50.699501,92461904
Ethereum,ETH,02/04/2017,51.274502,45.4258,50.7384,48.748699,134604000
Ethereum,ETH,03/04/2017,48.821201,43.409698,48.821201,44.3564,190512992
Ethereum,ETH,04/04/2017,45.739601,41.721802,43.921799,44.641899,157568000
Ethereum,ETH,05/04/2017,47.843399,44.538101,44.661098,45.304001,119733000
Ethereum,ETH,06/04/2017,45.641899,40.9011,45.220501,43.2421,147120000
Ethereum,ETH,07/04/2017,44.037498,41.646,42.865101,42.162601,81474704
Ethereum,ETH,08/04/2017,45.205299,41.730801,41.798401,44.307098,74138800
Ethereum,ETH,09/04/2017,44.490501,42.892799,44.280399,43.266998,55143000
Ethereum,ETH,10/04/2017,44.135899,42.415401,43.277599,43.4352,44061500
Ethereum,ETH,11/04/2017,44.2528,43.299702,43.5014,43.4072,38303300
Ethereum,ETH,12/04/2017,47.231998,43.110001,43.462799,46.2873,88045696
Ethereum,ETH,13/04/2017,50.913799,46.3106,46.3106,50.219398,157200000
Ethereum,ETH,14/04/2017,50.050098,46.762501,49.971401,47.5741,91674400
Ethereum,ETH,15/04/2017,49.57,47.1754,47.653702,49.101501,66207800
Ethereum,ETH,16/04/2017,49.143101,48.187302,49.0378,48.718498,31343800
Ethereum,ETH,17/04/2017,48.745399,48.0518,48.659698,48.3046,44013300
Ethereum,ETH,18/04/2017,51.030201,48.2971,48.319,50.7075,78748496
Ethereum,ETH,19/04/2017,50.948002,47.260502,50.729,48.305302,76281000
Ethereum,ETH,20/04/2017,49.988998,48.132301,48.132301,49.672199,79600896
Ethereum,ETH,21/04/2017,49.661701,48.140301,49.643299,48.2244,45048300
Ethereum,ETH,22/04/2017,48.7421,48.1731,48.1824,48.553001,37357600
Ethereum,ETH,23/04/2017,48.885601,48.168098,48.592499,48.4893,36234000
Ethereum,ETH,24/04/2017,50.1814,48.866699,48.866699,50.031502,55580600
Ethereum,ETH,25/04/2017,50.3036,49.8069,50.0746,49.891201,38264600
Ethereum,ETH,26/04/2017,53.436798,49.909401,49.909401,52.720299,104884000
Ethereum,ETH,27/04/2017,62.167702,52.288601,52.805698,62.167702,246775008
Ethereum,ETH,28/04/2017,70.846497,62.133202,62.226898,70.159203,346545984
Ethereum,ETH,29/04/2017,71.9049,66.7789,71.389603,68.3769,165448000
Ethereum,ETH,30/04/2017,79.021202,68.347702,68.540604,79.021202,229944992
Ethereum,ETH,01/05/2017,82.523903,73.086601,79.321602,76.296997,376841984
Ethereum,ETH,02/05/2017,79.353302,74.376801,76.653397,77.263802,193772992
Ethereum,ETH,03/05/2017,80.095299,75.763397,77.253998,79.718201,141922000
Ethereum,ETH,04/05/2017,97.561897,79.431099,79.720398,96.9814,366847008
Ethereum,ETH,05/05/2017,103.233002,92.220398,96.734703,94.398499,331928000
Ethereum,ETH,06/05/2017,97.8759,90.950104,94.912102,97.813499,151462000
Ethereum,ETH,07/05/2017,98.239098,89.866402,97.8694,94.007301,183295008
Ethereum,ETH,08/05/2017,95.136902,89.514603,93.747002,91.420403,231344000
Ethereum,ETH,09/05/2017,93.056702,80.3899,91.227997,91.162903,363433984
Ethereum,ETH,10/05/2017,92.846901,85.286301,91.1511,89.524902,145602000
Ethereum,ETH,11/05/2017,102.547997,88.475899,89.770699,89.8797,132722000
Ethereum,ETH,12/05/2017,93.1231,88.655403,89.428596,88.655403,145824992
Ethereum,ETH,13/05/2017,93.812302,86.660202,88.694397,90.835403,88742200
Ethereum,ETH,14/05/2017,91.248299,89.606003,90.871597,90.786499,66046600
