Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Apple,AAPL,2016-09-13 00:00:00+00:00,107.51,108.79,107.24,107.95,102.0610751,62176190
Apple,AAPL,2016-09-14 00:00:00+00:00,108.73,113.03,108.6,111.77,105.6726851,112340318
Apple,AAPL,2016-09-15 00:00:00+00:00,113.86,115.73,113.49,115.57,109.2653862,90613177
Apple,AAPL,2016-09-16 00:00:00+00:00,115.12,116.13,114.04,114.92,108.6508453,79886911
Apple,AAPL,2016-09-19 00:00:00+00:00,115.19,116.18,113.25,113.58,107.3839454,47023046
Apple,AAPL,2016-09-20 00:00:00+00:00,113.05,114.12,112.51,113.57,107.3744909,34514269
Apple,AAPL,2016-09-21 00:00:00+00:00,113.85,113.989,112.441,113.55,107.355582,36003185
Apple,AAPL,2016-09-22 00:00:00+00:00,114.35,114.94,114,114.62,108.367211,31073984
Apple,AAPL,2016-09-23 00:00:00+00:00,114.42,114.79,111.55,112.71,106.5614059,52481151
Apple,AAPL,2016-09-26 00:00:00+00:00,111.64,113.39,111.55,112.88,106.722132,29869442
Apple,AAPL,2016-09-27 00:00:00+00:00,113,113.18,112.34,113.09,106.920676,24607412
Apple,AAPL,2016-09-28 00:00:00+00:00,113.69,114.64,113.43,113.95,107.733761,29641085
Apple,AAPL,2016-09-29 00:00:00+00:00,113.16,113.8,111.8,112.18,106.0603187,35886990
Apple,AAPL,2016-09-30 00:00:00+00:00,112.46,113.37,111.8,113.05,106.8828581,36379106
Apple,AAPL,2016-10-03 00:00:00+00:00,112.71,113.05,112.28,112.52,106.3817709,21701760
Apple,AAPL,2016-10-04 00:00:00+00:00,113.06,114.31,112.63,113,106.8355857,29736835
Apple,AAPL,2016-10-05 00:00:00+00:00,113.4,113.66,112.69,113.05,106.8828581,21453089
Apple,AAPL,2016-10-06 00:00:00+00:00,113.7,114.34,113.13,113.89,107.6770342,28779313
Apple,AAPL,2016-10-07 00:00:00+00:00,114.31,114.56,113.51,114.06,107.8377603,24358443
Apple,AAPL,2016-10-10 00:00:00+00:00,115.02,116.75,114.72,116.05,109.7192011,36235956
Apple,AAPL,2016-10-11 00:00:00+00:00,117.7,118.69,116.2,116.3,109.955563,64041043
Apple,AAPL,2016-10-12 00:00:00+00:00,117.35,117.98,116.75,117.34,110.9388286,37586787
Apple,AAPL,2016-10-13 00:00:00+00:00,116.79,117.44,115.72,116.98,110.5984674,35192406
Apple,AAPL,2016-10-14 00:00:00+00:00,117.88,118.17,117.13,117.63,111.2130084,35652191
Apple,AAPL,2016-10-17 00:00:00+00:00,117.33,117.84,116.78,117.55,111.1373726,23624896
Apple,AAPL,2016-10-18 00:00:00+00:00,118.18,118.21,117.45,117.47,111.0617368,24553478
Apple,AAPL,2016-10-19 00:00:00+00:00,117.25,117.76,113.8,117.12,110.7308301,20034594
Apple,AAPL,2016-10-20 00:00:00+00:00,116.86,117.38,116.33,117.06,110.6741033,24125801
Apple,AAPL,2016-10-21 00:00:00+00:00,116.81,116.91,116.28,116.6,110.2391973,23192665
Apple,AAPL,2016-10-24 00:00:00+00:00,117.1,117.74,117,117.65,111.2319174,23538673
Apple,AAPL,2016-10-25 00:00:00+00:00,117.95,118.36,117.31,118.25,111.799186,48128970
Apple,AAPL,2016-10-26 00:00:00+00:00,114.31,115.7,113.31,115.59,109.2842952,66134219
Apple,AAPL,2016-10-27 00:00:00+00:00,115.39,115.86,114.1,114.48,108.2348483,34562045
Apple,AAPL,2016-10-28 00:00:00+00:00,113.87,115.21,113.45,113.72,107.5163081,37861662
Apple,AAPL,2016-10-31 00:00:00+00:00,113.65,114.23,113.2,113.54,107.3461275,26419398
Apple,AAPL,2016-11-01 00:00:00+00:00,113.46,113.77,110.53,111.49,105.4079598,43825812
Apple,AAPL,2016-11-02 00:00:00+00:00,111.4,112.35,111.23,111.59,105.5025045,28331709
Apple,AAPL,2016-11-03 00:00:00+00:00,110.98,111.46,109.55,109.83,104.3774218,26932602
Apple,AAPL,2016-11-04 00:00:00+00:00,108.53,110.25,108.11,108.84,103.436571,30836997
Apple,AAPL,2016-11-07 00:00:00+00:00,110.08,110.51,109.46,110.41,104.9286274,32560000
Apple,AAPL,2016-11-08 00:00:00+00:00,110.31,111.72,109.7,111.06,105.5463577,24254179
Apple,AAPL,2016-11-09 00:00:00+00:00,109.88,111.32,108.05,110.88,105.3752939,59176361
Apple,AAPL,2016-11-10 00:00:00+00:00,111.09,111.09,105.83,107.79,102.4386989,57134541
Apple,AAPL,2016-11-11 00:00:00+00:00,107.12,108.87,106.55,108.43,103.0469257,34143898
Apple,AAPL,2016-11-14 00:00:00+00:00,107.71,107.809,104.08,105.71,100.4619618,51175504
Apple,AAPL,2016-11-15 00:00:00+00:00,106.57,107.68,106.1593,107.11,101.7924579,32264510
Apple,AAPL,2016-11-16 00:00:00+00:00,106.7,110.23,106.6,109.99,104.5294785,58840522
Apple,AAPL,2016-11-17 00:00:00+00:00,109.81,110.35,108.83,109.95,104.4914644,27632003
Apple,AAPL,2016-11-18 00:00:00+00:00,109.72,110.54,109.66,110.06,104.5960033,28428917
Apple,AAPL,2016-11-21 00:00:00+00:00,110.12,111.99,110.01,111.73,106.1830952,29264571
Apple,AAPL,2016-11-22 00:00:00+00:00,111.95,112.42,111.4,111.8,106.24962,25965534
Apple,AAPL,2016-11-23 00:00:00+00:00,111.36,111.51,110.33,111.23,105.707918,27426394
Apple,AAPL,2016-11-25 00:00:00+00:00,111.13,111.87,110.95,111.79,106.2401164,11475922
Apple,AAPL,2016-11-28 00:00:00+00:00,111.43,112.465,111.39,111.57,106.0310385,27193983
Apple,AAPL,2016-11-29 00:00:00+00:00,110.78,112.03,110.07,111.46,105.9264995,28528750
Apple,AAPL,2016-11-30 00:00:00+00:00,111.6,112.2,110.27,110.52,105.0331664,36162258
Apple,AAPL,2016-12-01 00:00:00+00:00,110.365,110.94,109.03,109.49,104.0543013,37086862
Apple,AAPL,2016-12-02 00:00:00+00:00,109.17,110.09,108.85,109.9,104.4439466,26527997
Apple,AAPL,2016-12-05 00:00:00+00:00,110,110.03,108.25,109.11,103.6931667,34324540
Apple,AAPL,2016-12-06 00:00:00+00:00,109.5,110.36,109.19,109.95,104.4914644,26195462
Apple,AAPL,2016-12-07 00:00:00+00:00,109.26,111.19,109.16,111.03,105.5178471,29998719
Apple,AAPL,2016-12-08 00:00:00+00:00,110.86,112.43,110.6,112.12,106.5537334,27068316
Apple,AAPL,2016-12-09 00:00:00+00:00,112.31,114.7,112.31,113.95,108.2928819,34402627
Apple,AAPL,2016-12-12 00:00:00+00:00,113.29,115,112.49,113.3,107.6751515,26374377
Apple,AAPL,2016-12-13 00:00:00+00:00,113.84,115.92,113.75,115.19,109.4713213,43733811
Apple,AAPL,2016-12-14 00:00:00+00:00,115.04,116.2,114.98,115.19,109.4713213,34031834
Apple,AAPL,2016-12-15 00:00:00+00:00,115.38,116.73,115.23,115.82,110.0700446,46524544
Apple,AAPL,2016-12-16 00:00:00+00:00,116.47,116.5,115.645,115.97,110.2125977,44351134
Apple,AAPL,2016-12-19 00:00:00+00:00,115.8,117.38,115.75,116.64,110.8493352,27779423
Apple,AAPL,2016-12-20 00:00:00+00:00,116.74,117.5,116.68,116.95,111.143945,21424965
Apple,AAPL,2016-12-21 00:00:00+00:00,116.8,117.4,116.78,117.06,111.248484,23783165
Apple,AAPL,2016-12-22 00:00:00+00:00,116.35,116.51,115.64,116.29,110.5167111,26085854
Apple,AAPL,2016-12-23 00:00:00+00:00,115.59,116.52,115.59,116.52,110.7352926,14249484
Apple,AAPL,2016-12-27 00:00:00+00:00,116.52,117.8,116.49,117.26,111.4385549,18296855
Apple,AAPL,2016-12-28 00:00:00+00:00,117.52,118.0166,116.2,116.76,110.9633777,20905892
Apple,AAPL,2016-12-29 00:00:00+00:00,116.45,117.1095,116.4,116.73,110.9348671,15039519
Apple,AAPL,2016-12-30 00:00:00+00:00,116.65,117.2,115.43,115.82,110.0700446,30586265
Apple,AAPL,2017-01-03 00:00:00+00:00,115.8,116.33,114.76,116.15,110.3836615,28781865
Apple,AAPL,2017-01-04 00:00:00+00:00,115.85,116.51,115.75,116.02,110.2601155,21118116
Apple,AAPL,2017-01-05 00:00:00+00:00,115.92,116.8642,115.81,116.61,110.8208245,22193587
Apple,AAPL,2017-01-06 00:00:00+00:00,116.78,118.16,116.47,117.91,112.0562852,31751900
Apple,AAPL,2017-01-09 00:00:00+00:00,117.95,119.43,117.94,118.99,113.082668,33561948
Apple,AAPL,2017-01-10 00:00:00+00:00,118.77,119.38,118.3,119.11,113.1967105,24462051
Apple,AAPL,2017-01-11 00:00:00+00:00,118.74,119.93,118.6,119.75,113.8049373,27588593
Apple,AAPL,2017-01-12 00:00:00+00:00,118.895,119.3,118.21,119.25,113.3297601,27086220
Apple,AAPL,2017-01-13 00:00:00+00:00,119.11,119.62,118.81,119.04,113.1301857,26111948
Apple,AAPL,2017-01-17 00:00:00+00:00,118.34,120.24,118.22,120,114.0425259,34439843
Apple,AAPL,2017-01-18 00:00:00+00:00,120,120.5,119.71,119.99,114.0330224,23712961
Apple,AAPL,2017-01-19 00:00:00+00:00,119.4,120.09,119.37,119.78,113.8334479,25597291
Apple,AAPL,2017-01-20 00:00:00+00:00,120.45,120.45,119.7346,120,114.0425259,32597892
Apple,AAPL,2017-01-23 00:00:00+00:00,120,120.81,119.77,120.08,114.1185542,22050218
Apple,AAPL,2017-01-24 00:00:00+00:00,119.55,120.1,119.5,119.97,114.0140153,23211038
Apple,AAPL,2017-01-25 00:00:00+00:00,120.42,122.1,120.28,121.88,115.8291921,32586673
Apple,AAPL,2017-01-26 00:00:00+00:00,121.67,122.44,121.6,121.94,115.8862134,26337576
Apple,AAPL,2017-01-27 00:00:00+00:00,122.14,122.35,121.6,121.95,115.8957169,20562944
Apple,AAPL,2017-01-30 00:00:00+00:00,120.93,121.63,120.66,121.63,115.5916035,30377503
Apple,AAPL,2017-01-31 00:00:00+00:00,121.15,121.39,120.62,121.35,115.3255043,49200993
Apple,AAPL,2017-02-01 00:00:00+00:00,127.03,130.49,127.01,128.75,122.3581267,111985040
Apple,AAPL,2017-02-02 00:00:00+00:00,127.975,129.39,127.78,128.53,122.1490488,33710411
Apple,AAPL,2017-02-03 00:00:00+00:00,128.31,129.19,128.16,129.08,122.6717437,24507301
Apple,AAPL,2017-02-06 00:00:00+00:00,129.13,130.5,128.9,130.29,123.8216725,26845924
Apple,AAPL,2017-02-07 00:00:00+00:00,130.54,132.09,130.45,131.53,125.0001119,38183841
Apple,AAPL,2017-02-08 00:00:00+00:00,131.35,132.22,131.22,132.04,125.4847927,23004072
Apple,AAPL,2017-02-09 00:00:00+00:00,131.65,132.445,131.12,132.42,126.3876293,28349859
Apple,AAPL,2017-02-10 00:00:00+00:00,132.46,132.94,132.05,132.12,126.1012958,20065458
